City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
jacareacanga,BR,-6.22,-57.76,89.6,62,0,6.93
kaitangata,NZ,-46.28,169.85,42.61,94,100,5.64
goulburn,AU,-34.75,149.72,44.32,91,20,10.11
lata,IN,30.78,78.62,59.89,89,76,0.94
chokurdakh,RU,70.62,147.9,32.17,88,0,2.95
martyush,RU,56.4,61.89,55.03,94,92,9.33
hobart,AU,-42.88,147.33,44.6,87,20,8.05
broken hill,AU,-31.97,141.45,44.5,88,0,7.31
harnosand,SE,62.63,17.94,60.8,44,0,13.87
tuatapere,NZ,-46.13,167.69,38.92,100,0,3.4
puerto ayora,EC,-0.74,-90.35,77,69,90,13.87
havre-saint-pierre,CA,50.23,-63.6,53.6,58,75,19.46
punta arenas,CL,-53.16,-70.91,35.6,100,0,9.17
tasiilaq,GL,65.61,-37.64,39.2,60,75,2.24
chapais,CA,49.78,-74.86,59,38,40,10.29
avarua,CK,-21.21,-159.78,73.4,56,40,10.29
hofn,IS,64.25,-15.21,51.8,87,75,8.05
yukamenskoye,RU,57.89,52.24,56.65,98,92,10.22
khandbari,NP,27.38,87.21,44.59,67,80,1.39
bethel,US,60.79,-161.76,44.6,93,1,8.05
ushuaia,AR,-54.81,-68.31,41,64,75,3.36
east london,ZA,-33.02,27.91,69.8,37,0,5.82
bluff,AU,-23.58,149.07,61.96,76,76,4.74
mount isa,AU,-20.73,139.49,64.4,100,75,3.29
pevek,RU,69.7,170.27,36.94,71,0,6.98
gao,ML,16.28,-0.04,110.02,16,24,4.97
cabo san lucas,MX,22.89,-109.91,84.2,74,75,10.29
sao filipe,CV,14.9,-24.5,75.73,88,0,13.02
tiksi,RU,71.64,128.87,57.73,58,44,10.11
busselton,AU,-33.64,115.35,60.43,100,92,10.56
alofi,NU,-19.06,-169.92,71.6,88,76,3.36
ola,RU,59.58,151.3,42.8,100,75,7.76
atar,MR,20.52,-13.05,91.4,19,20,9.17
rikitea,PF,-23.12,-134.97,73.57,100,0,8.66
hermanus,ZA,-34.42,19.24,77.17,24,0,8.66
ponta delgada,PT,37.73,-25.67,71.6,88,75,12.75
bambari,CF,5.77,20.68,81.85,84,24,7.65
cap malheureux,MU,-19.98,57.61,75.2,69,75,14.99
puerto escondido,MX,15.86,-97.07,80.6,65,75,3.36
qaanaaq,GL,77.48,-69.36,31.45,100,32,6.31
new norfolk,AU,-42.78,147.06,44.6,87,20,8.05
najran,SA,17.54,44.22,98.6,13,40,11.41
isla mujeres,MX,21.23,-86.73,75.2,100,90,16.11
mar del plata,AR,-46.43,-67.52,32.53,100,0,7.31
provideniya,RU,64.42,-173.23,40.63,91,0,10.78
jamestown,AU,-33.21,138.6,43.15,88,12,10.89
